,id,s09,s10,s11,s12,Avg
Team 128,128,0.479,0.685,0.809,0.800,0.693
Team 129,129,0.783,0.832,0.923,0.907,0.861
Team 130,130,0.617,0.796,0.832,0.836,0.770
Team 131,131,0.653,0.908,0.934,0.890,0.846
Team 132,132,0.676,0.698,0.795,0.811,0.745
Team 133,133,0.703,0.864,0.919,0.898,0.846
Team 134,134,0.533,0.730,0.834,0.820,0.729
Team 135,135,0.219,0.167,0.211,0.220,0.204
Team 136,136,0.384,0.737,0.797,0.779,0.674
Team 137,137,0.304,0.409,0.472,0.493,0.420
Team 139,139,0.504,0.770,0.749,0.861,0.721
Team 140,140,0.299,0.416,0.492,0.502,0.427
Team 141,141,0.294,0.188,0.233,0.250,0.241
Team 143,143,0.760,0.856,0.906,0.918,0.860
Team 144,144,0.299,0.813,0.858,0.919,0.722
Team 146,146,0.715,0.852,0.927,0.929,0.856
Team 147,147,0.252,0.159,0.169,0.280,0.215
Team 148,148,0.250,0.159,0.167,0.275,0.213
Team 149,149,0.795,0.197,0.911,0.917,0.705
Team 150,150,0.444,0.859,0.914,0.936,0.788
